datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T05:00:00Z,/asiakastarinat/engs/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T22:00:00Z,/blog/impact-of-ai/,(direct),,US,United States,desktop,Chrome,MacOSX,visit
2026-04-04T08:40:00Z,/blog/3dbear-gains-traction/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-04T14:40:00Z,/blog/impact-of-ai/,www.google.com,/,AU,Australia,mobile,MobileSafari,iOS,visit
2026-04-04T06:35:00Z,/asiakastarinat/savon-ammattiopisto/,(direct),,SG,Singapore,mobile,ChromeMobile,Android,visit
2026-04-04T07:10:00Z,/blog/impact-of-ai/,www.google.com,/,NG,Nigeria,mobile,ChromeMobile,Android,visit
2026-04-04T12:45:00Z,/tags/rahoitus/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T06:35:00Z,/en/simuna/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T19:40:00Z,/en/tapahtumat/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T19:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T16:40:00Z,/en/contact/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T10:05:00Z,/en/asiakastarinat/hami/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-04T17:30:00Z,/simuna/yhteiset-tutkinnon-osat/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T11:35:00Z,/en/asiakastarinat/,www.3dbear.io,/en/tapahtumat/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T13:50:00Z,/en/asiakastarinat/immersive-space-keuda/,(direct),,DE,Germany,mobile,ChromeMobile,Android,visit
2026-04-04T12:35:00Z,/asiakastarinat/xr-valkeakoski/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T14:20:00Z,/tiimi/jussi-kajala/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T04:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T01:20:00Z,/,(direct),,US,United States,mobile,ChromeMobile,Android,visit
2026-04-04T14:40:00Z,/asiakastarinat/circular-economy-game/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T18:40:00Z,/asiakastarinat/takk/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T05:00:00Z,/asiakastarinat/ufo-hanke/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T06:20:00Z,/en/contact/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T16:00:00Z,/,www.google.com,/,SA,Saudi Arabia,mobile,MobileSafari,iOS,visit
2026-04-04T11:40:00Z,/en/asiakastarinat/sakky/,www.3dbear.io,/en/immersive-spaces/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T22:35:00Z,/,(direct),,US,United States,desktop,Unknown,Unknown,visit
2026-04-05T00:10:00Z,/en/asiakastarinat/takk/,(direct),,FR,France,mobile,ChromeMobile,iOS,visit
2026-04-04T17:40:00Z,/simuna/rakennusala/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
