datetime,path,referrer,referrer_path,country,device,browser,os,pageviews,visits
2026-04-05T02:05:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-05T04:30:00Z,/blog/impact-of-ai/,www.google.com,/,BD,desktop,Chrome,Windows,1,1
2026-04-04T10:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T15:40:00Z,/blog/impact-of-ai/,www.google.com,/,PK,mobile,MobileSafari,iOS,1,1
2026-04-04T11:40:00Z,/,(direct),,US,desktop,Chrome,Linux,1,1
2026-04-04T23:40:00Z,/en/privacy/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T08:25:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,iOS,1,1
2026-04-04T10:15:00Z,/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:00:00Z,/blog/impact-of-ai/,www.google.com,/,AU,desktop,Chrome,Windows,1,1
2026-04-04T12:00:00Z,/asiakastarinat/immersive-space-keuda/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T21:40:00Z,/asiakastarinat/livia/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T17:30:00Z,/asiakastarinat/immersive-space-keuda/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Windows,1,1
2026-04-04T11:15:00Z,/asiakastarinat/hami/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T06:40:00Z,/asiakastarinat/hami/,(direct),,CN,mobile,Unknown,Unknown,1,1
2026-04-04T12:45:00Z,/en/,www.google.com,/,IN,desktop,Chrome,MacOSX,1,1
2026-04-04T14:00:00Z,/en/asiakastarinat/xamk/,(direct),,FR,mobile,ChromeMobile,Android,1,1
2026-04-05T00:45:00Z,/tags/tiimi/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T11:40:00Z,/en/immersive-spaces/,www.3dbear.io,/en/asiakastarinat/circular-economy-game/,BG,desktop,Chrome,Windows,1,0
2026-04-04T06:30:00Z,/simuna/,(direct),,CN,mobile,ChromeMobile,Android,1,1
2026-04-04T11:35:00Z,/en/tapahtumat/,www.3dbear.io,/en/immersive-spaces/,BG,desktop,Chrome,Windows,1,0
2026-04-04T09:35:00Z,/blog/impact-of-ai/,(direct),,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T17:45:00Z,/blog/impact-of-ai/,www.google.com,/,AE,desktop,Chrome,Linux,1,1
2026-04-04T10:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T15:00:00Z,/blog/impact-of-ai/,www.google.com,/,ZA,mobile,ChromeMobile,Android,1,1
2026-04-04T14:35:00Z,/tiimi/tatja-kekarainen/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T14:40:00Z,/asiakastarinat/sedu/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T01:05:00Z,/blog/impact-of-ai/,www.google.com,/,US,mobile,MobileSafari,iOS,1,1
2026-04-04T19:35:00Z,/tiimi/,www.google.com,/,FI,mobile,ChromeMobile,Android,1,1
2026-04-04T11:40:00Z,/en/tapahtumat/,www.3dbear.io,/en/asiakastarinat/sakky/,BG,desktop,Chrome,Windows,1,0
2026-04-04T11:35:00Z,/en/immersive-spaces/,www.3dbear.io,/en/,BG,desktop,Chrome,Windows,1,0
2026-04-04T06:30:00Z,/asiakastarinat/hami/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T20:45:00Z,/blog/impact-of-ai/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T08:30:00Z,/asiakastarinat/centria/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T17:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,iOS,1,1
2026-04-04T07:35:00Z,/asiakastarinat/virtuaalinen-metsanhoito/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T19:40:00Z,/blog/impact-of-ai/,(direct),,US,desktop,Chrome,Windows,1,1
2026-04-04T07:40:00Z,/en/tapahtumat/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T18:00:00Z,/en/contact/,www.3dbear.io,/en/simuna/,OM,mobile,ChromeMobile,iOS,1,0
2026-04-04T09:35:00Z,/en/blog/karhun-vuosi-2025/,(direct),,NL,mobile,ChromeMobile,Android,1,1
2026-04-04T17:40:00Z,/blog/impact-of-ai/,www.google.com,/,UZ,mobile,ChromeMobile,Android,1,1
2026-04-04T15:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,OperaMobile,Android,1,1
2026-04-04T07:10:00Z,/blog/jari-mustonen/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T05:00:00Z,/asiakastarinat/engs/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T22:00:00Z,/blog/impact-of-ai/,(direct),,US,desktop,Chrome,MacOSX,1,1
2026-04-04T08:40:00Z,/blog/3dbear-gains-traction/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T14:40:00Z,/blog/impact-of-ai/,www.google.com,/,AU,mobile,MobileSafari,iOS,1,1
2026-04-04T06:35:00Z,/asiakastarinat/savon-ammattiopisto/,(direct),,SG,mobile,ChromeMobile,Android,1,1
2026-04-04T07:10:00Z,/blog/impact-of-ai/,www.google.com,/,NG,mobile,ChromeMobile,Android,1,1
2026-04-04T12:45:00Z,/tags/rahoitus/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T06:35:00Z,/en/simuna/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T19:40:00Z,/en/tapahtumat/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T19:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T16:40:00Z,/en/contact/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T10:05:00Z,/en/asiakastarinat/hami/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T17:30:00Z,/simuna/yhteiset-tutkinnon-osat/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T11:35:00Z,/en/asiakastarinat/,www.3dbear.io,/en/tapahtumat/,BG,desktop,Chrome,Windows,1,0
2026-04-04T13:50:00Z,/en/asiakastarinat/immersive-space-keuda/,(direct),,DE,mobile,ChromeMobile,Android,1,1
2026-04-04T12:35:00Z,/asiakastarinat/xr-valkeakoski/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T14:20:00Z,/tiimi/jussi-kajala/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T04:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-05T01:20:00Z,/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T14:40:00Z,/asiakastarinat/circular-economy-game/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T18:40:00Z,/asiakastarinat/takk/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T05:00:00Z,/asiakastarinat/ufo-hanke/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T06:20:00Z,/en/contact/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T16:00:00Z,/,www.google.com,/,SA,mobile,MobileSafari,iOS,1,1
2026-04-04T11:40:00Z,/en/asiakastarinat/sakky/,www.3dbear.io,/en/immersive-spaces/,BG,desktop,Chrome,Windows,1,0
2026-04-04T22:35:00Z,/,(direct),,US,desktop,Unknown,Unknown,1,1
2026-04-05T00:10:00Z,/en/asiakastarinat/takk/,(direct),,FR,mobile,ChromeMobile,iOS,1,1
2026-04-04T17:40:00Z,/simuna/rakennusala/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T10:20:00Z,/en/contact/,www.3dbear.io,/en/immersive-spaces/,SE,mobile,ChromeMobile,iOS,1,0
2026-04-04T12:45:00Z,/asiakastarinat/taitotalo/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T06:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T09:35:00Z,/asiakastarinat/tanzania/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:00:00Z,/simuna/lahihoitaja/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T11:00:00Z,/blog/impact-of-ai/,www.google.com,/,PK,desktop,Edge,Windows,1,1
2026-04-05T02:25:00Z,/en/tapahtumat/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T02:35:00Z,/asiakastarinat/asiakastyon-harjoittelu/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T21:05:00Z,/en/asiakastarinat/engs/,(direct),,NL,mobile,ChromeMobile,Android,1,1
2026-04-04T12:25:00Z,/en/tags/team/,(direct),,PL,mobile,ChromeMobile,iOS,1,1
2026-04-04T14:10:00Z,/blog/impact-of-ai/,(direct),,PH,mobile,MobileSafari,iOS,1,1
2026-04-04T09:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Edge,Windows,1,1
2026-04-04T17:40:00Z,/blog/tatja-kekarainen/,(direct),,DE,mobile,ChromeMobile,iOS,1,1
2026-04-04T08:40:00Z,/asiakastarinat/hygge-koulu/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T03:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Safari,MacOSX,1,1
2026-04-05T01:55:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,MacOSX,1,1
2026-04-04T06:35:00Z,/asiakastarinat/virtuaalinen-metsanhoito/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T22:45:00Z,/simuna/lahihoitaja/asiakkaan-kohtaaminen-ja-ohjaaminen/,(direct),,NL,mobile,ChromeMobile,iOS,1,1
2026-04-04T05:05:00Z,/asiakastarinat/sakky/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T19:45:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,Windows,1,1
2026-04-04T22:45:00Z,/en/asiakastarinat/ufo-hanke/,(direct),,JP,mobile,ChromeMobile,iOS,1,1
2026-04-04T12:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T05:50:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Linux,1,1
2026-04-05T04:15:00Z,/,(direct),,IE,desktop,Unknown,Unknown,1,1
2026-04-04T18:05:00Z,/blog/impact-of-ai/,www.google.com,/,UZ,mobile,ChromeMobile,Android,1,1
2026-04-05T04:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T18:10:00Z,/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-05T03:35:00Z,/en/asiakastarinat/ostfold/,(direct),,SE,mobile,ChromeMobile,Android,1,1
2026-04-04T10:30:00Z,/en/contact/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T06:00:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Windows,1,1
2026-04-04T18:50:00Z,/blog/impact-of-ai/,www.google.com,/,MY,desktop,Chrome,Windows,1,1
2026-04-04T22:35:00Z,/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T00:55:00Z,/blog/impact-of-ai/,www.google.com,/,US,mobile,ChromeMobile,iOS,1,1
2026-04-04T08:25:00Z,/en/simuna/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Windows,1,1
2026-04-04T23:40:00Z,/asiakastarinat/luksia-fysiikka/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:15:00Z,/tags/tutkimus/,(direct),,SG,mobile,ChromeMobile,Android,1,1
2026-04-04T06:30:00Z,/immersiiviset-tilat/,(direct),,CN,mobile,ChromeMobile,Android,1,1
2026-04-04T18:05:00Z,/en/asiakastarinat/circular-economy-game/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T08:00:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-05T03:55:00Z,/no/immersive-spaces/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T03:55:00Z,/asiakastarinat/laakkeiden-jako/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T04:45:00Z,/tiimi/taru-viitanen/,(direct),,SE,mobile,ChromeMobile,iOS,1,1
2026-04-04T08:05:00Z,/asiakastarinat/centria/,(direct),,US,mobile,ChromeMobile,iOS,1,1
2026-04-04T17:40:00Z,/immersiiviset-tilat/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T13:30:00Z,/blog/impact-of-ai/,www.google.com,/,MT,desktop,Chrome,MacOSX,1,1
2026-04-04T18:50:00Z,/,www.linkedin.com,/,IT,mobile,Unknown,Unknown,1,1
2026-04-04T16:20:00Z,/en/tapahtumat/sett-2026/,(direct),,CN,desktop,Unknown,Unknown,1,1
